Time(h)/Currency(c);Description
2163,148.97;Price after 90 days in Blight:
2169,148.88;Price after 90 days in Blight:
2175,148.76;Price after 90 days in Blight:
2181,148.84;Price after 90 days in Blight:
2187,148.89;Price after 91 days in Blight:
2193,149.03;Price after 91 days in Blight:
2199,149.19;Price after 91 days in Blight:
2205,149.43;Price after 91 days in Blight:
2211,149.79;Price after 92 days in Blight:
2217,150.63;Price after 92 days in Blight:
2223,151.84;Price after 92 days in Blight:
2229,153.22;Price after 92 days in Blight:
2235,154.76;Price after 93 days in Blight:
2241,156.29;Price after 93 days in Blight:
2247,157.83;Price after 93 days in Blight:
2253,159.21;Price after 93 days in Blight:
9,38.16;Price after 0 day in Blight HC:
3,38.75;Price after 0 day in Blight HC:
3,39.97;Price after 0 day in Blight HC:
9,40.79;Price after 0 day in Blight HC:
15,42.33;Price after 0 day in Blight HC:
21,43.53;Price after 0 day in Blight HC:
27,44.63;Price after 1 day in Blight HC:
33,45.52;Price after 1 day in Blight HC:
39,46.6;Price after 1 day in Blight HC:
45,47.59;Price after 1 day in Blight HC:
51,48.5;Price after 2 days in Blight HC:
57,49.28;Price after 2 days in Blight HC:
63,51.09;Price after 2 days in Blight HC:
69,53.35;Price after 2 days in Blight HC:
75,55.43;Price after 3 days in Blight HC:
81,57.1;Price after 3 days in Blight HC:
87,58.27;Price after 3 days in Blight HC:
93,59.48;Price after 3 days in Blight HC:
99,60.46;Price after 4 days in Blight HC:
105,61.45;Price after 4 days in Blight HC:
111,62.3;Price after 4 days in Blight HC:
117,63.22;Price after 4 days in Blight HC:
123,64.11;Price after 5 days in Blight HC:
129,65.1;Price after 5 days in Blight HC:
135,66.04;Price after 5 days in Blight HC:
141,66.5;Price after 5 days in Blight HC:
147,66.96;Price after 6 days in Blight HC:
153,67.81;Price after 6 days in Blight HC:
159,68.71;Price after 6 days in Blight HC:
165,69.53;Price after 6 days in Blight HC:
171,70.36;Price after 7 days in Blight HC:
177,71.15;Price after 7 days in Blight HC:
183,71.69;Price after 7 days in Blight HC:
189,71.98;Price after 7 days in Blight HC:
195,72.2;Price after 8 days in Blight HC:
201,72.27;Price after 8 days in Blight HC:
207,72.26;Price after 8 days in Blight HC:
213,72.26;Price after 8 days in Blight HC:
219,72.27;Price after 9 days in Blight HC:
225,72.27;Price after 9 days in Blight HC:
231,72.41;Price after 9 days in Blight HC:
237,72.55;Price after 9 days in Blight HC:
243,72.59;Price after 10 days in Blight HC:
249,72.69;Price after 10 days in Blight HC:
255,73.01;Price after 10 days in Blight HC:
261,73.51;Price after 10 days in Blight HC:
267,74.03;Price after 11 days in Blight HC:
273,74.65;Price after 11 days in Blight HC:
279,75.24;Price after 11 days in Blight HC:
285,75.79;Price after 11 days in Blight HC:
291,76.47;Price after 12 days in Blight HC:
297,77.14;Price after 12 days in Blight HC:
303,77.66;Price after 12 days in Blight HC:
309,78.16;Price after 12 days in Blight HC:
315,78.74;Price after 13 days in Blight HC:
321,79.26;Price after 13 days in Blight HC:
327,79.78;Price after 13 days in Blight HC:
333,80.21;Price after 13 days in Blight HC:
339,80.61;Price after 14 days in Blight HC:
345,80.9;Price after 14 days in Blight HC:
351,81.17;Price after 14 days in Blight HC:
357,81.38;Price after 14 days in Blight HC:
363,81.4;Price after 15 days in Blight HC:
369,81.4;Price after 15 days in Blight HC:
375,81.38;Price after 15 days in Blight HC:
381,81.37;Price after 15 days in Blight HC:
387,81.5;Price after 16 days in Blight HC:
393,81.6;Price after 16 days in Blight HC:
399,81.55;Price after 16 days in Blight HC:
405,81.5;Price after 16 days in Blight HC:
411,81.45;Price after 17 days in Blight HC:
417,81.46;Price after 17 days in Blight HC:
423,81.47;Price after 17 days in Blight HC:
429,81.5;Price after 17 days in Blight HC:
435,81.5;Price after 18 days in Blight HC:
441,81.47;Price after 18 days in Blight HC:
447,81.48;Price after 18 days in Blight HC:
453,81.45;Price after 18 days in Blight HC:
459,81.4;Price after 19 days in Blight HC:
465,81.34;Price after 19 days in Blight HC:
471,81.27;Price after 19 days in Blight HC:
477,81.19;Price after 19 days in Blight HC:
483,81.15;Price after 20 days in Blight HC:
489,81.06;Price after 20 days in Blight HC:
495,81.02;Price after 20 days in Blight HC:
501,80.98;Price after 20 days in Blight HC:
507,80.9;Price after 21 days in Blight HC:
513,80.85;Price after 21 days in Blight HC:
519,80.8;Price after 21 days in Blight HC:
525,80.78;Price after 21 days in Blight HC:
531,80.71;Price after 22 days in Blight HC:
537,80.71;Price after 22 days in Blight HC:
543,80.7;Price after 22 days in Blight HC:
549,80.72;Price after 22 days in Blight HC:
555,80.75;Price after 23 days in Blight HC:
561,80.77;Price after 23 days in Blight HC:
567,80.81;Price after 23 days in Blight HC:
573,80.83;Price after 23 days in Blight HC:
579,80.87;Price after 24 days in Blight HC:
585,80.91;Price after 24 days in Blight HC:
591,80.95;Price after 24 days in Blight HC:
597,80.96;Price after 24 days in Blight HC:
603,81.02;Price after 25 days in Blight HC:
609,81.05;Price after 25 days in Blight HC:
615,81.1;Price after 25 days in Blight HC:
621,81.11;Price after 25 days in Blight HC:
627,81.05;Price after 26 days in Blight HC:
633,81.09;Price after 26 days in Blight HC:
639,81.06;Price after 26 days in Blight HC:
645,81.04;Price after 26 days in Blight HC:
651,81.04;Price after 27 days in Blight HC:
657,81.08;Price after 27 days in Blight HC:
663,81.1;Price after 27 days in Blight HC:
669,81.12;Price after 27 days in Blight HC:
675,81.09;Price after 28 days in Blight HC:
681,81.1;Price after 28 days in Blight HC:
687,81.08;Price after 28 days in Blight HC:
693,81.12;Price after 28 days in Blight HC:
699,81.15;Price after 29 days in Blight HC:
705,81.05;Price after 29 days in Blight HC:
711,81.03;Price after 29 days in Blight HC:
717,81.07;Price after 29 days in Blight HC:
723,81.11;Price after 30 days in Blight HC:
729,81.1;Price after 30 days in Blight HC:
735,81.09;Price after 30 days in Blight HC:
741,81.08;Price after 30 days in Blight HC:
747,81.09;Price after 31 days in Blight HC:
753,81.05;Price after 31 days in Blight HC:
759,81.08;Price after 31 days in Blight HC:
765,81.09;Price after 31 days in Blight HC:
771,81.16;Price after 32 days in Blight HC:
777,81.27;Price after 32 days in Blight HC:
783,81.4;Price after 32 days in Blight HC:
789,81.49;Price after 32 days in Blight HC:
795,81.57;Price after 33 days in Blight HC:
801,81.71;Price after 33 days in Blight HC:
807,81.86;Price after 33 days in Blight HC:
813,82.03;Price after 33 days in Blight HC:
819,82.24;Price after 34 days in Blight HC:
825,82.45;Price after 34 days in Blight HC:
831,82.71;Price after 34 days in Blight HC:
837,83;Price after 34 days in Blight HC:
843,83.28;Price after 35 days in Blight HC:
849,83.58;Price after 35 days in Blight HC:
855,83.79;Price after 35 days in Blight HC:
861,84;Price after 35 days in Blight HC:
867,84.21;Price after 36 days in Blight HC:
873,84.41;Price after 36 days in Blight HC:
879,84.58;Price after 36 days in Blight HC:
885,84.74;Price after 36 days in Blight HC:
891,84.88;Price after 37 days in Blight HC:
897,85.05;Price after 37 days in Blight HC:
903,85.14;Price after 37 days in Blight HC:
909,85.2;Price after 37 days in Blight HC:
915,85.28;Price after 38 days in Blight HC:
921,85.35;Price after 38 days in Blight HC:
927,85.42;Price after 38 days in Blight HC:
933,85.54;Price after 38 days in Blight HC:
939,85.71;Price after 39 days in Blight HC:
945,85.92;Price after 39 days in Blight HC:
951,86.17;Price after 39 days in Blight HC:
957,86.45;Price after 39 days in Blight HC:
963,86.79;Price after 40 days in Blight HC:
969,87.17;Price after 40 days in Blight HC:
975,87.58;Price after 40 days in Blight HC:
981,88.06;Price after 40 days in Blight HC:
987,88.53;Price after 41 days in Blight HC:
993,89.08;Price after 41 days in Blight HC:
999,89.84;Price after 41 days in Blight HC:
1005,90.74;Price after 41 days in Blight HC:
1011,91.67;Price after 42 days in Blight HC:
1017,92.47;Price after 42 days in Blight HC:
1023,93.6;Price after 42 days in Blight HC:
1029,94.6;Price after 42 days in Blight HC:
1035,95.5;Price after 43 days in Blight HC:
1041,96.31;Price after 43 days in Blight HC:
1047,97.03;Price after 43 days in Blight HC:
1053,97.69;Price after 43 days in Blight HC:
1059,98.4;Price after 44 days in Blight HC:
1065,99.03;Price after 44 days in Blight HC:
1071,99.36;Price after 44 days in Blight HC:
1077,99.55;Price after 44 days in Blight HC:
1083,99.59;Price after 45 days in Blight HC:
1089,99.68;Price after 45 days in Blight HC:
1095,99.46;Price after 45 days in Blight HC:
1101,99.34;Price after 45 days in Blight HC:
1107,99.21;Price after 46 days in Blight HC:
1113,99.1;Price after 46 days in Blight HC:
1119,99.1;Price after 46 days in Blight HC:
1125,99;Price after 46 days in Blight HC:
1131,98.82;Price after 47 days in Blight HC:
1137,98.56;Price after 47 days in Blight HC:
1143,98.4;Price after 47 days in Blight HC:
1149,98.19;Price after 47 days in Blight HC:
1155,98.05;Price after 48 days in Blight HC:
1161,97.92;Price after 48 days in Blight HC:
1167,97.76;Price after 48 days in Blight HC:
1173,97.59;Price after 48 days in Blight HC:
1179,97.42;Price after 49 days in Blight HC:
1185,97.25;Price after 49 days in Blight HC:
1191,97;Price after 49 days in Blight HC:
1197,96.78;Price after 49 days in Blight HC:
1203,96.54;Price after 50 days in Blight HC:
1209,96.38;Price after 50 days in Blight HC:
1215,96.2;Price after 50 days in Blight HC:
1221,96.03;Price after 50 days in Blight HC:
1227,95.82;Price after 51 days in Blight HC:
1233,95.59;Price after 51 days in Blight HC:
1239,95.34;Price after 51 days in Blight HC:
1245,95.09;Price after 51 days in Blight HC:
1251,94.9;Price after 52 days in Blight HC:
1257,94.74;Price after 52 days in Blight HC:
1263,94.59;Price after 52 days in Blight HC:
1269,94.39;Price after 52 days in Blight HC:
1275,94.2;Price after 53 days in Blight HC:
1281,94;Price after 53 days in Blight HC:
1287,93.81;Price after 53 days in Blight HC:
1293,93.67;Price after 53 days in Blight HC:
1299,93.55;Price after 54 days in Blight HC:
1305,93.41;Price after 54 days in Blight HC:
1311,93.3;Price after 54 days in Blight HC:
1317,93.19;Price after 54 days in Blight HC:
1323,93.05;Price after 55 days in Blight HC:
1329,92.94;Price after 55 days in Blight HC:
1335,92.84;Price after 55 days in Blight HC:
1341,92.77;Price after 55 days in Blight HC:
1347,92.7;Price after 56 days in Blight HC:
1353,92.64;Price after 56 days in Blight HC:
1359,92.53;Price after 56 days in Blight HC:
1365,92.27;Price after 56 days in Blight HC:
1371,92.06;Price after 57 days in Blight HC:
1377,91.88;Price after 57 days in Blight HC:
1383,91.7;Price after 57 days in Blight HC:
1389,91.52;Price after 57 days in Blight HC:
1395,91.35;Price after 58 days in Blight HC:
1401,91.13;Price after 58 days in Blight HC:
1407,90.82;Price after 58 days in Blight HC:
1413,90.56;Price after 58 days in Blight HC:
1419,90.33;Price after 59 days in Blight HC:
1425,90.11;Price after 59 days in Blight HC:
1431,89.94;Price after 59 days in Blight HC:
1437,89.86;Price after 59 days in Blight HC:
1443,89.74;Price after 60 days in Blight HC:
1449,89.67;Price after 60 days in Blight HC:
1455,89.57;Price after 60 days in Blight HC:
1461,89.51;Price after 60 days in Blight HC:
1467,89.37;Price after 61 days in Blight HC:
1473,89.16;Price after 61 days in Blight HC:
1479,89.03;Price after 61 days in Blight HC:
1485,88.93;Price after 61 days in Blight HC:
1491,88.84;Price after 62 days in Blight HC:
1497,88.74;Price after 62 days in Blight HC:
1503,88.62;Price after 62 days in Blight HC:
1509,88.53;Price after 62 days in Blight HC:
1515,88.4;Price after 63 days in Blight HC:
1521,88.27;Price after 63 days in Blight HC:
1527,88.06;Price after 63 days in Blight HC:
1533,87.67;Price after 63 days in Blight HC:
1539,87.33;Price after 64 days in Blight HC:
1545,86.99;Price after 64 days in Blight HC:
1551,86.66;Price after 64 days in Blight HC:
1557,86.31;Price after 64 days in Blight HC:
1563,85.98;Price after 65 days in Blight HC:
1569,85.65;Price after 65 days in Blight HC:
1575,85.32;Price after 65 days in Blight HC:
1581,85.02;Price after 65 days in Blight HC:
1587,84.76;Price after 66 days in Blight HC:
1593,84.44;Price after 66 days in Blight HC:
1599,84.17;Price after 66 days in Blight HC:
1605,84.07;Price after 66 days in Blight HC:
1611,83.97;Price after 67 days in Blight HC:
1617,83.86;Price after 67 days in Blight HC:
1623,83.81;Price after 67 days in Blight HC:
1629,83.78;Price after 67 days in Blight HC:
1635,83.7;Price after 68 days in Blight HC:
1641,83.57;Price after 68 days in Blight HC:
1647,83.46;Price after 68 days in Blight HC:
1653,83.32;Price after 68 days in Blight HC:
1659,83.16;Price after 69 days in Blight HC:
1665,82.99;Price after 69 days in Blight HC:
1671,82.82;Price after 69 days in Blight HC:
1677,82.66;Price after 69 days in Blight HC:
1683,82.57;Price after 70 days in Blight HC:
1689,82.57;Price after 70 days in Blight HC:
1695,82.49;Price after 70 days in Blight HC:
1701,82.35;Price after 70 days in Blight HC:
1707,82.25;Price after 71 days in Blight HC:
1713,82.22;Price after 71 days in Blight HC:
1719,82.19;Price after 71 days in Blight HC:
1725,82.1;Price after 71 days in Blight HC:
1731,82.02;Price after 72 days in Blight HC:
1737,81.96;Price after 72 days in Blight HC:
1743,81.89;Price after 72 days in Blight HC:
1749,81.81;Price after 72 days in Blight HC:
1755,81.68;Price after 73 days in Blight HC:
1761,81.53;Price after 73 days in Blight HC:
1767,81.49;Price after 73 days in Blight HC:
1773,81.51;Price after 73 days in Blight HC:
1779,81.55;Price after 74 days in Blight HC:
1785,81.65;Price after 74 days in Blight HC:
1791,81.55;Price after 74 days in Blight HC:
1797,81.71;Price after 74 days in Blight HC:
1803,81.81;Price after 75 days in Blight HC:
1809,81.9;Price after 75 days in Blight HC:
1815,82;Price after 75 days in Blight HC:
1821,82.12;Price after 75 days in Blight HC:
1827,82.27;Price after 76 days in Blight HC:
1833,82.47;Price after 76 days in Blight HC:
1839,82.54;Price after 76 days in Blight HC:
1845,82.59;Price after 76 days in Blight HC:
1851,82.6;Price after 77 days in Blight HC:
1857,82.49;Price after 77 days in Blight HC:
1863,82.49;Price after 77 days in Blight HC:
1869,82.28;Price after 77 days in Blight HC:
1875,82.07;Price after 78 days in Blight HC:
1881,81.87;Price after 78 days in Blight HC:
1887,81.75;Price after 78 days in Blight HC:
1893,81.53;Price after 78 days in Blight HC:
1899,81.27;Price after 79 days in Blight HC:
1905,80.97;Price after 79 days in Blight HC:
1911,80.78;Price after 79 days in Blight HC:
1917,80.6;Price after 79 days in Blight HC:
1923,80.44;Price after 80 days in Blight HC:
1929,80.33;Price after 80 days in Blight HC:
1935,80.31;Price after 80 days in Blight HC:
1941,80.17;Price after 80 days in Blight HC:
1947,80.05;Price after 81 days in Blight HC:
1953,79.89;Price after 81 days in Blight HC:
1959,79.69;Price after 81 days in Blight HC:
1965,79.55;Price after 81 days in Blight HC:
1971,79.41;Price after 82 days in Blight HC:
1977,79.26;Price after 82 days in Blight HC:
1983,78.86;Price after 82 days in Blight HC:
1989,78.47;Price after 82 days in Blight HC:
1995,78.02;Price after 83 days in Blight HC:
2001,77.58;Price after 83 days in Blight HC:
2007,77.24;Price after 83 days in Blight HC:
2013,77.1;Price after 83 days in Blight HC:
2019,77.03;Price after 84 days in Blight HC:
2025,77.04;Price after 84 days in Blight HC:
2031,77.06;Price after 84 days in Blight HC:
2037,76.98;Price after 84 days in Blight HC:
2043,76.91;Price after 85 days in Blight HC:
2049,76.83;Price after 85 days in Blight HC:
2055,76.95;Price after 85 days in Blight HC:
2061,77.19;Price after 85 days in Blight HC:
2067,77.43;Price after 86 days in Blight HC:
2073,77.55;Price after 86 days in Blight HC:
2079,77.63;Price after 86 days in Blight HC:
2085,77.62;Price after 86 days in Blight HC:
2091,77.58;Price after 87 days in Blight HC:
2097,77.5;Price after 87 days in Blight HC:
2103,77.46;Price after 87 days in Blight HC:
2109,77.69;Price after 87 days in Blight HC:
2115,77.84;Price after 88 days in Blight HC:
2121,78.02;Price after 88 days in Blight HC:
2127,78.19;Price after 88 days in Blight HC:
2133,78.25;Price after 88 days in Blight HC:
2139,78.33;Price after 89 days in Blight HC:
2145,78.6;Price after 89 days in Blight HC:
2151,78.79;Price after 89 days in Blight HC:
2157,78.99;Price after 89 days in Blight HC:
2163,79.26;Price after 90 days in Blight HC:
2169,79.51;Price after 90 days in Blight HC:
2175,79.71;Price after 90 days in Blight HC:
2181,79.71;Price after 90 days in Blight HC:
2187,79.79;Price after 91 days in Blight HC:
2193,79.82;Price after 91 days in Blight HC:
2199,79.81;Price after 91 days in Blight HC:
2205,79.81;Price after 91 days in Blight HC:
2211,79.83;Price after 92 days in Blight HC:
2217,79.79;Price after 92 days in Blight HC:
2223,79.76;Price after 92 days in Blight HC:
2229,79.82;Price after 92 days in Blight HC:
2235,79.83;Price after 93 days in Blight HC:
2241,79.86;Price after 93 days in Blight HC:
2247,79.92;Price after 93 days in Blight HC:
2253,79.98;Price after 93 days in Blight HC:
21,14.8;Price after 0 day in Metamorph:
15,23.04;Price after 0 day in Metamorph:
9,33.66;Price after 0 day in Metamorph:
3,39.62;Price after 0 day in Metamorph:
3,44.59;Price after 0 day in Metamorph:
9,49.25;Price after 0 day in Metamorph:
15,53.28;Price after 0 day in Metamorph:
21,56.31;Price after 0 day in Metamorph:
27,59.1;Price after 1 day in Metamorph:
33,62.84;Price after 1 day in Metamorph:
39,66.26;Price after 1 day in Metamorph:
45,69.08;Price after 1 day in Metamorph:
51,75.72;Price after 2 days in Metamorph:
57,80.99;Price after 2 days in Metamorph:
63,84.36;Price after 2 days in Metamorph:
69,87.6;Price after 2 days in Metamorph:
75,90.22;Price after 3 days in Metamorph:
81,92.09;Price after 3 days in Metamorph:
87,93.6;Price after 3 days in Metamorph:
93,95.31;Price after 3 days in Metamorph:
99,96.73;Price after 4 days in Metamorph:
105,97.08;Price after 4 days in Metamorph:
111,97.18;Price after 4 days in Metamorph:
117,97.55;Price after 4 days in Metamorph:
123,98.38;Price after 5 days in Metamorph:
129,99.51;Price after 5 days in Metamorph:
135,100.72;Price after 5 days in Metamorph:
141,101.56;Price after 5 days in Metamorph:
147,102.36;Price after 6 days in Metamorph:
153,103.2;Price after 6 days in Metamorph:
159,104.03;Price after 6 days in Metamorph:
165,104.74;Price after 6 days in Metamorph:
171,105.4;Price after 7 days in Metamorph:
177,105.89;Price after 7 days in Metamorph:
183,106.42;Price after 7 days in Metamorph:
189,106.84;Price after 7 days in Metamorph:
195,107.28;Price after 8 days in Metamorph:
201,107.69;Price after 8 days in Metamorph:
207,108.12;Price after 8 days in Metamorph:
213,108.87;Price after 8 days in Metamorph:
219,109.7;Price after 9 days in Metamorph:
225,110.64;Price after 9 days in Metamorph:
231,111.61;Price after 9 days in Metamorph:
237,112.53;Price after 9 days in Metamorph:
243,113.4;Price after 10 days in Metamorph:
249,114.34;Price after 10 days in Metamorph:
255,115.17;Price after 10 days in Metamorph:
261,116.01;Price after 10 days in Metamorph:
267,116.81;Price after 11 days in Metamorph:
273,117.52;Price after 11 days in Metamorph:
279,118.59;Price after 11 days in Metamorph:
285,119.84;Price after 11 days in Metamorph:
291,121.1;Price after 12 days in Metamorph:
297,122.65;Price after 12 days in Metamorph:
303,124.96;Price after 12 days in Metamorph:
309,127.46;Price after 12 days in Metamorph:
315,129.97;Price after 13 days in Metamorph:
321,132.45;Price after 13 days in Metamorph:
327,134.91;Price after 13 days in Metamorph:
333,137.22;Price after 13 days in Metamorph:
339,139.34;Price after 14 days in Metamorph:
345,140.98;Price after 14 days in Metamorph:
351,142.12;Price after 14 days in Metamorph:
357,142.99;Price after 14 days in Metamorph:
363,143.74;Price after 15 days in Metamorph:
369,143.97;Price after 15 days in Metamorph:
375,143.56;Price after 15 days in Metamorph:
381,142.79;Price after 15 days in Metamorph:
387,141.79;Price after 16 days in Metamorph:
393,140.74;Price after 16 days in Metamorph:
399,139.74;Price after 16 days in Metamorph:
405,138.63;Price after 16 days in Metamorph:
411,137.72;Price after 17 days in Metamorph:
417,137.13;Price after 17 days in Metamorph:
423,136.42;Price after 17 days in Metamorph:
429,135.71;Price after 17 days in Metamorph:
435,134.92;Price after 18 days in Metamorph:
441,134.19;Price after 18 days in Metamorph:
447,133.35;Price after 18 days in Metamorph:
453,132.7;Price after 18 days in Metamorph:
459,132.2;Price after 19 days in Metamorph:
465,131.65;Price after 19 days in Metamorph:
471,131.2;Price after 19 days in Metamorph:
477,130.86;Price after 19 days in Metamorph:
483,130.48;Price after 20 days in Metamorph:
489,130.02;Price after 20 days in Metamorph:
495,129.67;Price after 20 days in Metamorph:
501,129.33;Price after 20 days in Metamorph:
507,129.03;Price after 21 days in Metamorph:
513,128.67;Price after 21 days in Metamorph:
519,128.19;Price after 21 days in Metamorph:
525,127.52;Price after 21 days in Metamorph:
531,126.73;Price after 22 days in Metamorph:
537,125.99;Price after 22 days in Metamorph:
543,125.16;Price after 22 days in Metamorph:
549,124.2;Price after 22 days in Metamorph:
555,123.16;Price after 23 days in Metamorph:
561,122.18;Price after 23 days in Metamorph:
567,121.2;Price after 23 days in Metamorph:
573,120.13;Price after 23 days in Metamorph:
579,119.07;Price after 24 days in Metamorph:
585,117.9;Price after 24 days in Metamorph:
591,116.71;Price after 24 days in Metamorph:
597,115.71;Price after 24 days in Metamorph:
603,114.92;Price after 25 days in Metamorph:
609,114.13;Price after 25 days in Metamorph:
615,113.38;Price after 25 days in Metamorph:
621,112.75;Price after 25 days in Metamorph:
627,112.35;Price after 26 days in Metamorph:
633,111.82;Price after 26 days in Metamorph:
639,111.38;Price after 26 days in Metamorph:
645,111.07;Price after 26 days in Metamorph:
651,110.89;Price after 27 days in Metamorph:
657,111.03;Price after 27 days in Metamorph:
663,111.24;Price after 27 days in Metamorph:
669,111.47;Price after 27 days in Metamorph:
675,111.75;Price after 28 days in Metamorph:
681,112.07;Price after 28 days in Metamorph:
687,112.41;Price after 28 days in Metamorph:
693,112.96;Price after 28 days in Metamorph:
699,113.42;Price after 29 days in Metamorph:
705,114.19;Price after 29 days in Metamorph:
711,115.1;Price after 29 days in Metamorph:
717,116.33;Price after 29 days in Metamorph:
723,117.72;Price after 30 days in Metamorph:
729,119.26;Price after 30 days in Metamorph:
735,121.48;Price after 30 days in Metamorph:
741,123.67;Price after 30 days in Metamorph:
747,125.65;Price after 31 days in Metamorph:
753,127.42;Price after 31 days in Metamorph:
759,129.32;Price after 31 days in Metamorph:
765,130.97;Price after 31 days in Metamorph:
771,132.37;Price after 32 days in Metamorph:
777,133.71;Price after 32 days in Metamorph:
783,134.82;Price after 32 days in Metamorph:
789,135.71;Price after 32 days in Metamorph:
795,136.4;Price after 33 days in Metamorph:
801,136.98;Price after 33 days in Metamorph:
807,136.89;Price after 33 days in Metamorph:
813,136.67;Price after 33 days in Metamorph:
819,136.5;Price after 34 days in Metamorph:
825,136.49;Price after 34 days in Metamorph:
831,136.42;Price after 34 days in Metamorph:
837,136.42;Price after 34 days in Metamorph:
843,136.56;Price after 35 days in Metamorph:
849,136.64;Price after 35 days in Metamorph:
855,136.77;Price after 35 days in Metamorph:
861,136.81;Price after 35 days in Metamorph:
867,136.84;Price after 36 days in Metamorph:
873,136.93;Price after 36 days in Metamorph:
879,137.27;Price after 36 days in Metamorph:
885,137.9;Price after 36 days in Metamorph:
891,138.63;Price after 37 days in Metamorph:
897,139.53;Price after 37 days in Metamorph:
903,140.62;Price after 37 days in Metamorph:
909,141.66;Price after 37 days in Metamorph:
915,142.97;Price after 38 days in Metamorph:
921,144.44;Price after 38 days in Metamorph:
927,146.17;Price after 38 days in Metamorph:
933,148.42;Price after 38 days in Metamorph:
939,150.74;Price after 39 days in Metamorph:
945,153.04;Price after 39 days in Metamorph:
951,155.09;Price after 39 days in Metamorph:
957,157.07;Price after 39 days in Metamorph:
963,158.69;Price after 40 days in Metamorph:
969,159.63;Price after 40 days in Metamorph:
975,160.26;Price after 40 days in Metamorph:
981,160.72;Price after 40 days in Metamorph:
987,160.84;Price after 41 days in Metamorph:
993,160.48;Price after 41 days in Metamorph:
999,159.81;Price after 41 days in Metamorph:
1005,158.6;Price after 41 days in Metamorph:
1011,157.36;Price after 42 days in Metamorph:
1017,156.08;Price after 42 days in Metamorph:
1023,154.87;Price after 42 days in Metamorph:
1029,153.51;Price after 42 days in Metamorph:
1035,152.58;Price after 43 days in Metamorph:
1041,152.17;Price after 43 days in Metamorph:
1047,152.04;Price after 43 days in Metamorph:
1053,152.21;Price after 43 days in Metamorph:
1059,152.6;Price after 44 days in Metamorph:
1065,153.47;Price after 44 days in Metamorph:
1071,154.44;Price after 44 days in Metamorph:
1077,155.53;Price after 44 days in Metamorph:
1083,156.59;Price after 45 days in Metamorph:
1089,157.63;Price after 45 days in Metamorph:
1095,158.63;Price after 45 days in Metamorph:
1101,159.63;Price after 45 days in Metamorph:
1107,160.53;Price after 46 days in Metamorph:
1113,161.55;Price after 46 days in Metamorph:
1119,162.56;Price after 46 days in Metamorph:
1125,163.48;Price after 46 days in Metamorph:
1131,164.37;Price after 47 days in Metamorph:
1137,165.3;Price after 47 days in Metamorph:
1143,166.23;Price after 47 days in Metamorph:
1149,167.18;Price after 47 days in Metamorph:
1155,168.12;Price after 48 days in Metamorph:
1161,169.08;Price after 48 days in Metamorph:
1167,170.06;Price after 48 days in Metamorph:
1173,171.02;Price after 48 days in Metamorph:
1179,172.04;Price after 49 days in Metamorph:
1185,172.91;Price after 49 days in Metamorph:
1191,173.56;Price after 49 days in Metamorph:
1197,174.24;Price after 49 days in Metamorph:
1203,174.89;Price after 50 days in Metamorph:
1209,175.36;Price after 50 days in Metamorph:
1215,176.2;Price after 50 days in Metamorph:
1221,176.78;Price after 50 days in Metamorph:
1227,177.5;Price after 51 days in Metamorph:
1233,178.33;Price after 51 days in Metamorph:
1239,179.47;Price after 51 days in Metamorph:
1245,180.7;Price after 51 days in Metamorph:
1251,181.68;Price after 52 days in Metamorph:
1257,182.43;Price after 52 days in Metamorph:
1263,183.1;Price after 52 days in Metamorph:
1269,183.39;Price after 52 days in Metamorph:
1275,183.5;Price after 53 days in Metamorph:
1281,183.7;Price after 53 days in Metamorph:
1287,183.46;Price after 53 days in Metamorph:
1293,183.42;Price after 53 days in Metamorph:
1299,183.31;Price after 54 days in Metamorph:
1305,183.26;Price after 54 days in Metamorph:
1311,182.96;Price after 54 days in Metamorph:
1317,182.58;Price after 54 days in Metamorph:
1323,182.43;Price after 55 days in Metamorph:
1329,182.52;Price after 55 days in Metamorph:
1335,182.63;Price after 55 days in Metamorph:
1341,183.1;Price after 55 days in Metamorph:
1347,183.73;Price after 56 days in Metamorph:
1353,184.26;Price after 56 days in Metamorph:
1359,184.71;Price after 56 days in Metamorph:
1365,185.17;Price after 56 days in Metamorph:
1371,185.5;Price after 57 days in Metamorph:
1377,185.68;Price after 57 days in Metamorph:
1383,185.9;Price after 57 days in Metamorph:
1389,186.25;Price after 57 days in Metamorph:
1395,186.64;Price after 58 days in Metamorph:
1401,187.18;Price after 58 days in Metamorph:
1407,188.07;Price after 58 days in Metamorph:
1413,188.9;Price after 58 days in Metamorph:
1419,189.78;Price after 59 days in Metamorph:
1425,190.42;Price after 59 days in Metamorph:
1431,191.18;Price after 59 days in Metamorph:
1437,191.53;Price after 59 days in Metamorph:
1443,191.88;Price after 60 days in Metamorph:
1449,192.18;Price after 60 days in Metamorph:
1455,192.12;Price after 60 days in Metamorph:
1461,191.81;Price after 60 days in Metamorph:
1467,191.29;Price after 61 days in Metamorph:
1473,190.31;Price after 61 days in Metamorph:
1479,188.84;Price after 61 days in Metamorph:
1485,187.14;Price after 61 days in Metamorph:
1491,185.25;Price after 62 days in Metamorph:
1497,183.58;Price after 62 days in Metamorph:
1503,181.5;Price after 62 days in Metamorph:
1509,179.92;Price after 62 days in Metamorph:
1515,178.44;Price after 63 days in Metamorph:
1521,176.84;Price after 63 days in Metamorph:
1527,175.4;Price after 63 days in Metamorph:
